school_id,school_name,borough,building_code,street_address,city,State,zip_code,latitude,longitude,number,start_time,end_time,day_length,enrollment,percent_white,percent_black,percent_hispanic,percent_asian,math_avg,reading_avg,writing_avg,final_sat,percent_tested,tested
02M260,Clinton School Writers and Artists,Manhattan,M933,425 West 33rd Street,1,NY,10001,40.75321,-73.99786,212-695-9114,,,,,,,,,,,,,,
06M211,Inwood Early College for Health and Information Technologies,Manhattan,M052,650 Academy Street,1,NY,10002,40.86605,-73.92486,718-935-3660  ,8:30,15:00,6:30,87,0.03,0.22,0.68,0.05,,,,,,
01M539,"New Explorations into Science, Technology and Math High School",Manhattan,M022,111 Columbia Street,1,NY,10002,40.71873,-73.97943,212-677-5190,8:15,16:00,7:45,1735,0.29,0.13,0.18,0.39,657,601,601,1859,0.91,91
02M294,Essex Street Academy,Manhattan,M445,350 Grand Street,1,NY,10002,40.71687,-73.98953,212-475-4773,8:00,14:45,6:45,358,0.12,0.39,0.41,0.06,395,411,387,1193,0.79,78.9
02M308,Lower Manhattan Arts Academy,Manhattan,M445,350 Grand Street,1,NY,10002,40.71687,-73.98953,212-505-0143,8:30,15:00,6:30,383,0.03,0.28,0.57,0.09,418,428,415,1261,0.65,65.1
02M545,High School for Dual Language and Asian Studies,Manhattan,M445,350 Grand Street,1,NY,10002,40.71687,-73.98953,212-475-4097,8:00,15:35,7:35,416,0.02,0.03,0.06,0.89,613,453,463,1529,0.96,95.9
01M292,Henry Street School for International Studies,Manhattan,M056,220 Henry Street,1,NY,10002,40.71376,-73.98526,212-406-9411,8:30,15:30,7:00,255,0.04,0.24,0.57,0.13,410,406,381,1197,0.6,59.7
01M696,Bard High School Early College,Manhattan,M097,525 East Houston Street,1,NY,10002,40.71896,-73.97607,212-995-8479,9:00,15:50,6:50,545,0.45,0.17,0.19,0.17,634,641,639,1914,0.71,70.8
02M305,Urban Assembly Academy of Government and Law,Manhattan,M445,350 Grand Street,1,NY,10002,40.71687,-73.98953,212-505-0745,8:32,15:45,7:13,329,0.03,0.42,0.49,0.06,389,395,381,1165,0.81,80.8
01M509,Marta Valle High School,Manhattan,M025,145 Stanton Street,1,NY,10002,40.72057,-73.98567,212-473-8152,8:00,15:30,7:30,363,0.03,0.4,0.51,0.06,438,413,394,1245,0.36,35.6
