school_id,school_name,school_disability,disability_percent,esl,esl_percent,poverty,poverty_percent
01M015,P.S. 015 Roberto Clemente,65,0.3,19,0.1,171,0.9
01M015,P.S. 015 Roberto Clemente,64,0.3,17,0.1,169,0.9
01M015,P.S. 015 Roberto Clemente,60,0.3,16,0.1,149,0.8
01M015,P.S. 015 Roberto Clemente,51,0.3,12,0.1,152,0.9
01M015,P.S. 015 Roberto Clemente,45,0.2,8,0.0,161,0.8
01M019,P.S. 019 Asher Levy,89,0.3,25,0.1,213,0.7
01M019,P.S. 019 Asher Levy,82,0.3,18,0.1,200,0.7
01M019,P.S. 019 Asher Levy,82,0.3,13,0.0,217,0.8
01M019,P.S. 019 Asher Levy,88,0.3,9,0.0,207,0.8
01M019,P.S. 019 Asher Levy,87,0.3,8,0.0,197,0.8
01M020,P.S. 020 Anna Silver,144,0.2,104,0.2,448,0.7
01M020,P.S. 020 Anna Silver,144,0.2,120,0.2,411,0.6
01M020,P.S. 020 Anna Silver,123,0.2,88,0.2,353,0.6
01M020,P.S. 020 Anna Silver,116,0.2,93,0.2,315,0.6
01M020,P.S. 020 Anna Silver,114,0.2,86,0.2,356,0.7
01M034,P.S. 034 Franklin D. Roosevelt,129,0.3,25,0.1,373,0.9
01M034,P.S. 034 Franklin D. Roosevelt,119,0.3,26,0.1,381,1.0
01M034,P.S. 034 Franklin D. Roosevelt,122,0.3,29,0.1,384,1.0
01M034,P.S. 034 Franklin D. Roosevelt,130,0.4,27,0.1,348,1.0
01M034,P.S. 034 Franklin D. Roosevelt,122,0.4,25,0.1,325,1.0
01M063,The STAR Academy - P.S.63,59,0.3,8,0.0,145,0.8
01M063,The STAR Academy - P.S.63,68,0.3,7,0.0,166,0.8
01M063,The STAR Academy - P.S.63,65,0.3,6,0.0,172,0.8
01M063,The STAR Academy - P.S.63,66,0.3,5,0.0,165,0.8
01M063,The STAR Academy - P.S.63,67,0.3,2,0.0,166,0.8
01M064,P.S. 064 Robert Simon,99,0.3,19,0.1,259,0.9
01M064,P.S. 064 Robert Simon,93,0.3,18,0.1,266,0.9
01M064,P.S. 064 Robert Simon,85,0.3,15,0.1,240,0.9
01M064,P.S. 064 Robert Simon,81,0.3,10,0.0,239,1.0
